No,Poet,Author,Description,ColorName,ColorCode,ImagePath
1,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
2,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
3,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
4,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
5,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
6,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
7,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
8,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
9,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
10,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
11,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
12,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
13,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
14,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
15,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
16,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
17,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
18,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
19,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
20,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
21,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
22,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
23,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
24,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
25,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
26,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
27,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
28,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
29,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
30,秋の田のかりほの庵の苫をあらみ わが衣手は露にぬれつつ,天智天皇,天気の変化に気分が左右されるかもしれません。でも、どのような天気でも「楽しむ」気持ちさえあればへっちゃらです。,空色,73B8E2,image1
